S4,1,13.8109,13.8115
S4,2,13.8421,13.8432
S4,3,12.9719,12.9723
S4,4,13.8227,13.8239
F3,1,11.9204,11.9291
F3,2,10.0584,10.0600
F3,3,0.1402,0.1406
F3,4,7.4705,7.4729
L3,1,0.0402,0.0405
L3,2,0.0639,0.0645
L3,3,0.0425,0.0431
L3,4,0.0450,0.0453
C3,1,20.1126,902.0211
C3,2,20.2711,910.6000
C3,3,20.1480,911.2485
C3,4,20.8439,917.3074
F5,1,0.3558,0.3563
F5,2,0.2353,0.2357
F5,3,0.2245,0.2268
F5,4,0.4205,0.4214
S2,1,4.3999,4.4009
S2,2,4.1243,4.1247
S2,3,2.9646,2.9656
S2,4,4.3373,4.3377
F4,1,7.7961,7.7970
F4,2,8.0236,8.0272
F4,3,7.9784,7.9793
F4,4,7.7214,7.7224
S1,1,0.1493,0.1498
S1,2,0.1182,0.1186
S1,3,0.1180,0.1184
S1,4,0.1330,0.1334
L1,1,0.0350,0.0352
L1,2,0.0740,0.0772
L1,3,0.1126,0.1130
L1,4,0.0921,0.0924
S7,1,0.0104,0.0106
S7,2,0.0088,0.0090
S7,3,0.0099,0.0100
S7,4,0.0107,0.0108
C2,1,256.5796,256.5812
C2,2,255.7308,255.7316
C2,3,262.9648,262.9654
C2,4,257.0600,257.0607
S3,1,12.7272,12.7276
S3,2,12.6674,12.6677
S3,3,14.0145,14.0152
S3,4,12.8442,12.8448
L4,1,4.1936,5.6876
L4,2,3.9906,5.6324
L4,3,3.9895,5.5225
L4,4,4.2012,5.7178
F2,1,9.8100,11.6161
F2,2,0.5922,0.5925
F2,3,0.7727,0.7731
F2,4,0.5614,0.5618
L2,1,53.2093,53.2119
L2,2,50.0420,50.0444
L2,3,52.9165,52.9197
L2,4,2.6868,2.6879
C1,1,57.8992,57.9002
C1,2,59.1777,59.1785
C1,3,55.6324,55.6334
C1,4,56.1496,56.1503
L5,1,5.0195,5.0208
L5,2,11.4242,19.8667
L5,3,7.8562,16.0917
L5,4,7.0544,7.0566
S5,1,14.0249,14.0253
S5,2,16.1466,16.1469
S5,3,13.8504,13.8507
S5,4,13.6972,13.6978
S6,1,4.0627,4.0634
S6,2,4.4351,4.4360
S6,3,4.0768,4.0773
S6,4,4.0962,4.0972
F1,1,12.7798,12.7805
F1,2,10.1575,10.1577
F1,3,9.9975,9.9978
F1,4,10.2815,10.2817
