S4,1,13.8694,13.8710
S4,2,13.4542,13.4549
S4,3,13.4619,13.4623
S4,4,14.1206,14.1211
F3,1,11.6643,11.6659
F3,2,9.3311,9.3329
F3,3,0.1566,0.1570
F3,4,6.4264,6.4283
L3,1,0.0320,0.0330
L3,2,0.0523,0.0528
L3,3,0.0368,0.0382
L3,4,0.0332,0.0340
C3,1,15.5859,883.3684
C3,2,14.7735,867.5395
C3,3,16.0986,866.7261
C3,4,15.2027,880.7451
F5,1,0.3751,0.3758
F5,2,0.2301,0.2306
F5,3,0.2296,0.2304
F5,4,0.5203,0.5209
S2,1,4.9164,4.9176
S2,2,3.9507,3.9513
S2,3,3.0582,3.0588
S2,4,4.1156,4.1164
F4,1,7.2992,7.3006
F4,2,7.3239,7.3283
F4,3,8.8435,8.8444
F4,4,8.0726,8.0738
S1,1,0.1514,0.1531
S1,2,0.1128,0.1131
S1,3,0.1140,0.1145
S1,4,0.1412,0.1415
L1,1,0.0370,0.0372
L1,2,0.0648,0.0651
L1,3,0.0968,0.0971
L1,4,0.0811,0.0814
S7,1,0.0109,0.0110
S7,2,0.0090,0.0092
S7,3,0.0102,0.0102
S7,4,0.0108,0.0109
C2,1,245.6805,245.6813
C2,2,246.1601,246.1626
C2,3,248.6703,248.6711
C2,4,245.4328,245.4337
S3,1,11.8742,11.8746
S3,2,12.1848,12.1851
S3,3,13.0869,13.0871
S3,4,11.7857,11.7860
L4,1,3.6778,5.2654
L4,2,3.8004,5.3862
L4,3,3.6905,5.2576
L4,4,3.6309,5.2284
F2,1,9.0772,10.8962
F2,2,0.5509,0.5512
F2,3,0.7671,0.7676
F2,4,0.5533,0.5536
L2,1,48.9057,49.0336
L2,2,48.4168,48.4188
L2,3,52.6841,52.6912
L2,4,2.1122,2.1128
C1,1,55.3083,55.3089
C1,2,53.8116,53.8121
C1,3,55.8090,55.8096
C1,4,58.0759,58.0763
L5,1,4.3575,4.3597
L5,2,8.2781,17.8211
L5,3,6.9449,15.5884
L5,4,6.9301,6.9315
S5,1,12.9466,12.9469
S5,2,13.8827,13.8829
S5,3,15.6097,15.6099
S5,4,13.7853,13.7855
S6,1,4.0470,4.0476
S6,2,4.2061,4.2066
S6,3,4.0267,4.0271
S6,4,3.9793,3.9798
F1,1,10.0347,10.0353
F1,2,10.3713,10.3715
F1,3,9.9155,9.9158
F1,4,9.8926,9.8928
